ID,Row_Names_lower,Het_IS,Hom_SAPA_IS,Hom_SACE_IS,Introgressions,fractionHet,PhyloGroup_SACE469,ID,GenesSAPA_onlySACE,SACE217_plus_Alpechin,SACE217_plus_Alpechin_2,PhyloGroup_Fig3_MMMGsinclonas,Scer_PCT,Spar_PCT
ERR1308794,err1308794,4,20,0,24,0.166666667,others,,NA,,Others,Others,95.3235,0.6
ERR1308915,err1308915,3,16,0,19,0.157894737,others,,NA,,Others,Others,95.1793,0.5869
ERR1308971,err1308971,4,15,0,19,0.210526316,others,,NA,,Others,Others,95.0829,0.587
ERR1308975,err1308975,2,17,0,19,0.105263158,others,,NA,,Others,Others,95.0237,0.5546
ERR1308993,err1308993,5,15,0,20,0.25,others,,NA,,Others,Others,94.8244,0.5447
ERR1308999,err1308999,3,17,0,20,0.15,others,,NA,,Others,Others,95.2708,0.5627
ERR1309013,err1309013,4,15,0,19,0.210526316,others,,NA,,Others,Others,94.9453,0.5654
ERR1309078,err1309078,4,20,0,24,0.166666667,others,,NA,,Others,Others,95.1196,0.619
ERR1309090,err1309090,5,15,0,20,0.25,others,,NA,,Others,Others,95.0037,0.5546
ERR1309100,err1309100,4,17,0,21,0.19047619,others,,NA,,Others,Others,95.2767,0.5934
ERR1309222,err1309222,4,11,0,15,0.266666667,others,,NA,,Others,Others,94.5192,0.4897
ERR1309288,err1309288,2,28,0,30,0.066666667,others,,NA,,Others,Others,94.4009,0.6334
ERR1309443,err1309443,5,15,0,20,0.25,others,,NA,,Others,Others,94.7112,0.473
ERR1309458,err1309458,2,17,0,19,0.105263158,others,,NA,,Others,Others,95.152,0.6167
ERR2299969,err2299969,3,13,0,16,0.1875,others,,NA,,Others,Others,83.4645,0.2305
ERR2299976,err2299976,11,8,0,19,0.578947368,others,,NA,,Others,Others,92.8093,0.3223
ERR2299978,err2299978,3,6,0,9,0.333333333,others,,NA,,Others,Others,91.6836,0.1951
ERR2299979,err2299979,5,15,0,20,0.25,others,,NA,,Others,Others,85.6782,0.2514
ERR2299980,err2299980,1,10,1,12,0.083333333,others,,NA,,Others,Others,93.0716,0.2624
ERR2299981,err2299981,7,11,0,18,0.388888889,others,,NA,,Others,Others,93.7663,0.4248
ERR2299982,err2299982,1,7,0,8,0.125,others,,NA,,Others,Others,89.1277,0.315
ERR2299983,err2299983,4,15,0,19,0.210526316,others,,NA,,Others,Others,91.7797,0.4395
ERR2299984,err2299984,5,13,0,18,0.277777778,others,,NA,,Others,Others,93.289,0.3984
ERR2299987,err2299987,16,29,0,45,0.355555556,others,,NA,,Others,Others,90.6492,0.8514
ERR756202,err756202,6,22,0,28,0.214285714,others,,NA,,Others,Others,65.7246,0.2578
JS002c1,js002c1,0,7,0,7,0,others,,NA,,Others,Others,94.5349,0.2134
JS008c1,js008c1,3,10,0,13,0.230769231,others,,NA,,Others,Others,94.8688,0.3364
JS014c1,js014c1,13,37,0,50,0.26,FG,js014c1,54,FG,FG,FG,93.7697,1.5126
JS022c1,js022c1,1,20,0,21,0.047619048,others,,NA,,Others,Others,95.0209,0.4425
JS025c1,js025c1,18,237,0,255,0.070588235,Alpechin,,NA,Alpechin,Alpechin,Alpechin,90.4177,4.8839
JS032c1,js032c1,4,26,0,30,0.133333333,others,,NA,,Others,Others,94.8781,0.6273
JS033c1,js033c1,1,9,0,10,0.1,others,,NA,,Others,Others,94.5107,0.2448
JS065c1,js065c1,0,6,0,6,0,others,,NA,,Others,Others,93.4322,0.1658
JS070c1,js070c1,4,17,0,21,0.19047619,others,,NA,,Others,Others,95.1906,0.5854
JS080c1,js080c1,0,11,0,11,0,others,,NA,,Others,Others,94.6685,0.2883
JS086c1,js086c1,4,17,0,21,0.19047619,others,,NA,,Others,Others,94.97,0.5288
JS089c1,js089c1,4,17,0,21,0.19047619,others,,NA,,Others,Others,94.9987,0.6105
JS094c1,js094c1,2,8,0,10,0.2,others,,NA,,Others,Others,94.8014,0.2257
JS098c1,js098c1,4,13,0,17,0.235294118,others,,NA,,Others,Others,94.5403,0.4746
JS104c1,js104c1,63,197,1,261,0.24137931,Alpechin,,NA,Alpechin,Alpechin,Alpechin,90.9291,5.1625
JS109c1,js109c1,48,90,0,138,0.347826087,MMMG,js109c1,152,MMMG,MMMG,MMMG,93.0759,3.3823
JS114c1,js114c1,18,41,1,60,0.3,FG,js114c1,67,FG,FG,FG,94.0287,1.728
JS119c1,js119c1,1,8,0,9,0.111111111,others,,NA,,Others,Others,93.0897,0.2037
JS127c1,js127c1,3,15,0,18,0.166666667,others,,NA,,Others,Others,95.531,0.598
JS150c1,js150c1,17,45,0,62,0.274193548,FG,js150c1,70,FG,FG,FG,93.618,1.7178
JS157c1,js157c1,16,223,0,239,0.066945607,Alpechin,,NA,Alpechin,Alpechin,Alpechin,89.8492,4.5994
JS161c1,js161c1,0,8,0,8,0,others,,NA,,Others,Others,94.0985,0.2309
JS163c1,js163c1,6,19,0,25,0.24,others,,NA,,Others,Others,95.4124,0.6274
JS165c1,js165c1,11,39,0,50,0.22,FG,js165c1,54,FG,FG,FG,93.8056,1.3969
JS166c1,js166c1,15,16,1,32,0.46875,others,,NA,,Others,Others,95.5124,0.5858
JS171c1,js171c1,12,47,1,60,0.2,FG,js171c1,64,FG,FG,FG,93.5198,1.5781
JS191c1,js191c1,13,226,0,239,0.054393305,Alpechin,,NA,Alpechin,Alpechin,Alpechin,90.4104,4.5712
JS204c1,js204c1,0,10,1,11,0,others,,NA,,Others,Others,94.3519,0.2256
JS208c1,js208c1,12,36,1,49,0.244897959,FG,js208c1,54,FG,FG,FG,93.6625,1.3708
JS210c1,js210c1,11,41,0,52,0.211538462,FG,js210c1,56,FG,FG,FG,93.5809,1.4877
JS211c1,js211c1,17,262,0,279,0.0609319,Alpechin,,NA,Alpechin,Alpechin,Alpechin,90.2573,5.1919
JS229c1,js229c1,2,8,0,10,0.2,others,,NA,,Others,Others,94.9487,0.2519
JS240c1,js240c1,184,91,0,275,0.669090909,Tamaulipas,js240c1,285,Tamaulipas,Tamaulipas,Tamaulipas,93.6386,5.417
JS246c1,js246c1,10,34,1,45,0.222222222,FG,js246c1,52,FG,FG,FG,93.6184,1.3328
JS247c1,js247c1,1,10,0,11,0.090909091,others,,NA,,Others,Others,95.9856,0.2791
JS252c1,js252c1,4,18,0,22,0.181818182,others,,NA,,Others,Others,95.2205,0.7121
JS254c1,js254c1,0,8,0,8,0,others,,NA,,Others,Others,94.4171,0.2616
JS263c1,js263c1,13,38,1,52,0.25,FG,js263c1,59,FG,FG,FG,93.688,1.4614
JS270c1,js270c1,16,44,2,62,0.258064516,FG,js270c1,70,FG,FG,FG,93.3788,1.678
JS273c1,js273c1,182,88,0,270,0.674074074,Tamaulipas,js273c1,280,Tamaulipas,Tamaulipas,Tamaulipas,93.5533,5.292
JS274c1,js274c1,16,221,1,238,0.067226891,Alpechin,,NA,Alpechin,Alpechin,Alpechin,91.1182,4.6676
JS277c1,js277c1,6,33,2,41,0.146341463,FG,js277c1,45,FG,FG,FG,93.9391,1.3746
JS281c1,js281c1,8,14,0,22,0.363636364,others,,NA,,Others,Others,95.3894,0.6214
JS288c1,js288c1,0,10,0,10,0,others,,NA,,Others,Others,94.2148,0.259
JS308c1,js308c1,0,9,0,9,0,others,,NA,,Others,Others,94.3478,0.2728
JS310c1,js310c1,12,40,1,53,0.226415094,FG,js310c1,60,FG,FG,FG,93.5597,1.5254
JS311c1,js311c1,10,39,1,50,0.2,FG,js311c1,56,FG,FG,FG,93.6232,1.3989
JS312c1,js312c1,0,6,1,7,0,others,,NA,,Others,Others,95.7771,0.1332
JS319c1,js319c1,0,8,0,8,0,others,,NA,,Others,Others,94.1297,0.2529
JS321c1,js321c1,18,282,0,300,0.06,Alpechin,,NA,Alpechin,Alpechin,Alpechin,89.6504,5.6035
JS326c1,js326c1,11,41,2,54,0.203703704,FG,js326c1,65,FG,FG,FG,93.6496,1.4603
JS329c1,js329c1,2,16,0,18,0.111111111,others,,NA,,Others,Others,94.5249,0.4948
JS345c1,js345c1,0,8,0,8,0,others,,NA,,Others,Others,94.452,0.2298
JS348c1,js348c1,0,9,0,9,0,others,,NA,,Others,Others,93.9817,0.2094
JS368c1,js368c1,3,11,0,14,0.214285714,others,,NA,,Others,Others,95.156,0.3017
JS372c1,js372c1,3,20,0,23,0.130434783,others,,NA,,Others,Others,95.0304,0.5739
JS375c1,js375c1,4,15,0,19,0.210526316,others,,NA,,Others,Others,95.0386,0.5792
JS378c1,js378c1,0,10,0,10,0,others,,NA,,Others,Others,94.3607,0.2657
JS382c1,js382c1,0,7,0,7,0,others,,NA,,Others,Others,93.6157,0.2325
JS387c1,js387c1,7,42,1,50,0.14,FG,js387c1,56,FG,FG,FG,93.7984,1.5553
JS389c1,js389c1,3,9,0,12,0.25,others,,NA,,Others,Others,94.5627,0.2947
JS402c1,js402c1,1,7,0,8,0.125,others,,NA,,Others,Others,94.9152,0.2619
JS403c1,js403c1,0,12,0,12,0,others,,NA,,Others,Others,94.5792,0.2802
JS410c1,js410c1,2,25,0,27,0.074074074,others,,NA,,Others,Others,94.0108,0.5177
JS418c1,js418c1,6,18,0,24,0.25,others,,NA,,Others,Others,94.7312,0.5991
JS419c1,js419c1,0,9,0,9,0,others,,NA,,Others,Others,94.1033,0.3379
JS421c1,js421c1,89,68,1,158,0.563291139,Tamaulipas,js421c1,170,Tamaulipas,Tamaulipas,Tamaulipas,93.8715,3.5311
JS445c1,js445c1,1,5,0,6,0.166666667,others,,NA,,Others,Others,94.6984,0.223
JS454c1,js454c1,3,18,0,21,0.142857143,others,,NA,,Others,Others,95.1755,0.6769
JS462c1,js462c1,113,89,1,203,0.556650246,Tamaulipas,js462c1,217,Tamaulipas,Tamaulipas,Tamaulipas,93.411,4.2517
JS468c1,js468c1,11,40,2,53,0.20754717,FG,js468c1,60,FG,FG,FG,93.7543,1.443
JS474c1,js474c1,4,19,0,23,0.173913043,others,,NA,,Others,Others,95.0613,0.6594
JS497c1,js497c1,20,113,0,133,0.15037594,MMMG,js497c1,146,MMMG,MMMG,MMMG,92.1021,3.1977
JS525c1,js525c1,14,16,0,30,0.466666667,others,,NA,,Others,Others,95.601,0.8398
JS527c1,js527c1,10,35,1,46,0.217391304,FG,js527c1,51,FG,FG,FG,93.7301,1.3235
JS542c1,js542c1,4,15,0,19,0.210526316,others,,NA,,Others,Others,94.9754,0.6008
JS574c1,js574c1,0,10,0,10,0,others,,NA,,Others,Others,94.5369,0.2315
JS576c1,js576c1,4,10,0,14,0.285714286,others,,NA,,Others,Others,94.9363,0.3944
JS579c1,js579c1,4,11,1,16,0.25,others,,NA,,Others,Others,95.5101,0.6066
JS594c1,js594c1,37,240,1,278,0.133093525,Alpechin,,NA,Alpechin,Alpechin,Alpechin,90.3447,5.239
JS599c1,js599c1,13,40,1,54,0.240740741,FG,js599c1,62,FG,FG,FG,93.7465,1.4732
JS611c1,js611c1,5,30,0,35,0.142857143,others,,NA,,Others,Others,94.2759,0.8341
JS646c1,js646c1,4,15,0,19,0.210526316,others,,NA,,Others,Others,95.0318,0.5794
JS649c1,js649c1,1,22,0,23,0.043478261,others,,NA,,Others,Others,94.3324,0.6209
JS654c1,js654c1,11,44,1,56,0.196428571,FG,js654c1,65,FG,FG,FG,93.6967,1.5574
JS660c1,js660c1,1,8,0,9,0.111111111,others,,NA,,Others,Others,95.4159,0.2707
JS670c1,js670c1,4,16,0,20,0.2,others,,NA,,Others,Others,95.1243,0.5618
JS671c1,js671c1,0,7,0,7,0,others,,NA,,Others,Others,95.0003,0.2903
JS677c1,js677c1,2,9,0,11,0.181818182,others,,NA,,Others,Others,94.2461,0.3998
JS678c1,js678c1,3,19,0,22,0.136363636,others,,NA,,Others,Others,95.1241,0.6255
JS688c1,js688c1,0,10,0,10,0,others,,NA,,Others,Others,94.8346,0.3374
JS691c1,js691c1,13,45,1,59,0.220338983,FG,js691c1,66,FG,FG,FG,93.3938,1.5945
JS728c1,js728c1,13,45,2,60,0.216666667,FG,js728c1,70,FG,FG,FG,93.5374,1.5865
JS733c1,js733c1,0,9,0,9,0,others,,NA,,Others,Others,94.7748,0.2161
JS735c1,js735c1,1,7,0,8,0.125,others,,NA,,Others,Others,94.4404,0.259
JS737c1,js737c1,17,279,0,296,0.057432432,Alpechin,,NA,Alpechin,Alpechin,Alpechin,89.7787,5.5959
JS741c1,js741c1,0,8,0,8,0,others,,NA,,Others,Others,94.7884,0.2308
JS754c1,js754c1,12,41,1,54,0.222222222,FG,js754c1,59,FG,FG,FG,93.6627,1.471
JS757c1,js757c1,3,15,0,18,0.166666667,others,,NA,,Others,Others,95.1371,0.5639
JS759c1,js759c1,20,41,0,61,0.327868852,FG,js759c1,70,FG,FG,FG,93.8261,1.6916
JS760c1,js760c1,2,23,0,25,0.08,others,,NA,,Others,Others,94.5264,0.6639
JS771c1,js771c1,4,16,0,20,0.2,others,,NA,,Others,Others,94.756,0.6132
JS772c1,js772c1,0,8,1,9,0,others,,NA,,Others,Others,94.3845,0.2691
JS773c1,js773c1,4,27,0,31,0.129032258,others,,NA,,Others,Others,94.9939,0.6734
JS774c1,js774c1,5,17,0,22,0.227272727,others,,NA,,Others,Others,95.0433,0.6105
JS781c1,js781c1,3,16,0,19,0.157894737,others,,NA,,Others,Others,95.137,0.6163
JS783c1,js783c1,5,37,1,43,0.11627907,others,,NA,,Others,Others,94.5124,0.9966
JS806c1,js806c1,48,85,0,133,0.360902256,Tamaulipas,js806c1,148,Tamaulipas,Tamaulipas,Tamaulipas,93.3219,2.8688
JS817c1,js817c1,0,8,0,8,0,others,,NA,,Others,Others,94.8729,0.2505
JS818c1,js818c1,19,45,3,67,0.28358209,FG,js818c1,75,FG,FG,FG,93.4457,1.7105
JS825c1,js825c1,0,11,0,11,0,others,,NA,,Others,Others,94.5489,0.3237
JS827c1,js827c1,1,10,0,11,0.090909091,others,,NA,,Others,Others,95.1485,0.2831
JS835c1,js835c1,17,46,1,64,0.265625,FG,js835c1,76,FG,FG,FG,93.5952,1.7214
JS846c1,js846c1,7,11,0,18,0.388888889,others,,NA,,Others,Others,95.271,0.5246
JS861c1,js861c1,10,32,0,42,0.238095238,FG,js861c1,48,FG,FG,FG,93.7702,1.2863
JS863c1,js863c1,51,85,0,136,0.375,Tamaulipas,js863c1,150,Tamaulipas,Tamaulipas,Tamaulipas,93.6099,2.9862
JS880c1,js880c1,41,90,0,131,0.312977099,Tamaulipas,js880c1,147,Tamaulipas,Tamaulipas,Tamaulipas,93.3964,2.947
JS885c1,js885c1,7,11,0,18,0.388888889,others,,NA,,Others,Others,95.175,0.4733
JS889c1,js889c1,12,38,0,50,0.24,FG,js889c1,55,FG,FG,FG,93.7092,1.4551
JS898c1,js898c1,0,8,0,8,0,others,,NA,,Others,Others,94.7973,0.2765
JS906c1,js906c1,0,11,0,11,0,others,,NA,,Others,Others,94.5179,0.331
JS910c1,js910c1,5,17,0,22,0.227272727,others,,NA,,Others,Others,94.9388,0.5968
JS915c1,js915c1,17,222,0,239,0.071129707,Alpechin,,NA,Alpechin,Alpechin,Alpechin,90.3493,4.6154
JS922c1,js922c1,7,45,3,55,0.127272727,FG,js922c1,61,FG,FG,FG,93.72,1.6945
JS925c1,js925c1,18,268,0,286,0.062937063,Alpechin,,NA,Alpechin,Alpechin,Alpechin,89.8107,5.358
JS928c1,js928c1,2,8,0,10,0.2,others,,NA,,Others,Others,95.1169,0.2599
JS933c1,js933c1,12,44,1,57,0.210526316,FG,js933c1,67,FG,FG,FG,93.8585,1.5522
JS937c1,js937c1,65,217,0,282,0.230496454,Alpechin,,NA,Alpechin,Alpechin,Alpechin,90.691,5.4803
SRR5678625,srr5678625,5,15,0,20,0.25,others,,NA,,Others,Others,94.2669,0.4278
SRR5678661,srr5678661,10,21,0,31,0.322580645,others,,NA,,Others,Others,94.1111,0.6819
SRR5678667,srr5678667,2,10,0,12,0.166666667,others,,NA,,Others,Others,94.3094,0.4282
SRR800806,srr800806,3,16,0,19,0.157894737,others,,NA,,Others,Others,93.8925,0.3688
SRR800836,srr800836,3,17,0,20,0.15,others,,NA,,Others,Others,95.0938,0.6423
SRR800838,srr800838,3,16,0,19,0.157894737,others,,NA,,Others,Others,94.4403,0.4043
XA017c1,xa017c1,22,99,0,121,0.181818182,MMMG,xa017c1,135,MMMG,MMMG,MMMG,92.2408,2.8007
XA023c1,xa023c1,22,103,0,125,0.176,MMMG,xa023c1,139,MMMG,MMMG,MMMG,92.0658,2.7487
XA024c2,xa024c2,19,107,1,127,0.149606299,MMMG,xa024c2,141,MMMG,MMMG,MMMG,92.0867,2.7977
XA030c1,xa030c1,14,103,1,118,0.118644068,MMMG,xa030c1,133,MMMG,MMMG,MMMG,92.0829,2.6134
XA031c2,xa031c2,39,88,2,129,0.302325581,MMMG,,NA,,NO,NA,92.9886,2.8763
XA055c2,xa055c2,16,124,2,142,0.112676056,MMMG,,NA,,NO,NA,91.7618,3.0688
XA057c4,xa057c4,42,111,0,153,0.274509804,MMMG,xa057c4,167,MMMG,MMMG,MMMG,92.4843,3.2484
XA070c1,xa070c1,34,96,0,130,0.261538462,MMMG,xa070c1,145,MMMG,MMMG,MMMG,92.4168,2.9853
XA072c4,xa072c4,18,107,0,125,0.144,MMMG,xa072c4,140,MMMG,MMMG,MMMG,92.1145,2.9085
XA074c2,xa074c2,47,94,2,143,0.328671329,MMMG,xa074c2,156,MMMG,MMMG,MMMG,92.7622,3.1183
XA081c6,xa081c6,44,80,1,125,0.352,MMMG,xa081c6,140,MMMG,MMMG,MMMG,92.554,2.8911
XA083c1,xa083c1,44,79,1,124,0.35483871,MMMG,,NA,,NO,NA,92.6266,2.9221
XA083c6,xa083c6,76,77,2,155,0.490322581,MMMG,xa083c6,168,MMMG,MMMG,MMMG,93.0436,3.5384
XA097c4,xa097c4,69,76,0,145,0.475862069,MMMG,xa097c4,160,MMMG,MMMG,MMMG,92.9482,3.0505
XA098c2,xa098c2,55,86,0,141,0.390070922,MMMG,xa098c2,156,MMMG,MMMG,MMMG,92.7857,3.1928
XA107c1,xa107c1,21,99,0,120,0.175,MMMG,,NA,,NO,NA,92.1916,2.783
XA108c1,xa108c1,13,116,0,129,0.100775194,MMMG,,NA,,NO,NA,91.7521,3.1444
XA121c18,xa121c18,53,118,0,171,0.30994152,Tamaulipas,xa121c18,184,Tamaulipas,Tamaulipas,Tamaulipas,92.213,3.5542
XA121c20,xa121c20,44,79,1,124,0.35483871,Tamaulipas,xa121c20,139,Tamaulipas,Tamaulipas,Tamaulipas,93.0002,2.5456
XA121c6,xa121c6,87,67,2,156,0.557692308,Tamaulipas,xa121c6,172,Tamaulipas,Tamaulipas,Tamaulipas,93.4071,3.0868
XA124c1,xa124c1,6,23,0,29,0.206896552,others,xa124c1,29,others,Others,Others,94.5742,0.8482
XA125c5,xa125c5,17,44,1,62,0.274193548,others,xa125c5,74,others,Others,Others,93.9961,1.4931
XA126c1,xa126c1,4,36,0,40,0.1,others,xa126c1,40,others,Others,Others,94.294,1.2141
XA126c5,xa126c5,3,25,1,29,0.103448276,others,xa126c5,34,others,Others,Others,94.4689,0.7014
XA126c7,xa126c7,71,81,0,152,0.467105263,Tamaulipas,xa126c7,165,Tamaulipas,Tamaulipas,Tamaulipas,93.1182,3.0724
XA131c1,xa131c1,18,104,0,122,0.147540984,MMMG,,NA,,NO,NA,92.0847,2.932
XA131c10,xa131c10,20,106,0,126,0.158730159,MMMG,,NA,,NO,NA,92.019,2.9209
XA131c13,xa131c13,18,104,0,122,0.147540984,MMMG,,NA,,NO,NA,92.0123,2.8366
XA131c18,xa131c18,20,97,1,118,0.169491525,MMMG,xa131c18,131,MMMG,MMMG,MMMG,92.1358,2.7477
XA131c2,xa131c2,21,106,0,127,0.165354331,MMMG,,NA,,NO,NA,92.0169,2.9077
XA131c20,xa131c20,20,105,0,125,0.16,MMMG,,NA,,NO,NA,92,2.8937
XA131c4,xa131c4,21,106,0,127,0.165354331,MMMG,,NA,,NO,NA,92.0011,2.9027
XA132c2,xa132c2,48,90,0,138,0.347826087,MMMG,xa132c2,152,MMMG,MMMG,MMMG,92.7249,3.1543
XA133c5,xa133c5,21,101,2,124,0.169354839,MMMG,xa133c5,134,MMMG,MMMG,MMMG,92.3259,2.7027
XA134c1,xa134c1,78,73,1,152,0.513157895,MMMG,xa134c1,165,MMMG,MMMG,MMMG,93.0965,3.4404
XA137c1,xa137c1,70,73,0,143,0.48951049,MMMG,xa137c1,157,MMMG,MMMG,MMMG,93.1623,3.149
XA139c1,xa139c1,75,69,3,147,0.510204082,MMMG,xa139c1,161,MMMG,MMMG,MMMG,93.1143,3.2516
XA140c2,xa140c2,71,74,2,147,0.482993197,MMMG,xa140c2,161,MMMG,MMMG,MMMG,92.9514,3.3933
XA142c1,xa142c1,19,106,2,127,0.149606299,MMMG,xa142c1,141,MMMG,MMMG,MMMG,92.0678,2.7958
XA143c7,xa143c7,51,94,1,146,0.349315068,MMMG,xa143c7,160,MMMG,MMMG,MMMG,92.862,3.2898
XA144c3,xa144c3,47,98,2,147,0.319727891,MMMG,xa144c3,161,MMMG,MMMG,MMMG,92.804,3.2799
XA145c3,xa145c3,25,106,1,132,0.189393939,MMMG,xa145c3,145,MMMG,MMMG,MMMG,92.3161,2.7961
XA146c1,xa146c1,32,80,0,112,0.285714286,MMMG,xa146c1,128,MMMG,MMMG,MMMG,92.8623,2.7461
XA147c2,xa147c2,21,103,0,124,0.169354839,MMMG,,NA,,NO,NA,92.0921,2.7111
XA151c6,xa151c6,13,117,0,130,0.1,MMMG,,NA,,NO,NA,91.7357,3.119
XA153c1,xa153c1,20,100,0,120,0.166666667,MMMG,,NA,,NO,NA,91.9208,2.6114
XA154c1,xa154c1,25,101,1,127,0.196850394,MMMG,xa154c1,141,MMMG,MMMG,MMMG,92.2137,2.8174
XA156c1,xa156c1,10,106,1,117,0.085470085,MMMG,,NA,,NO,NA,91.9303,2.6564
XA186c3,xa186c3,14,128,0,142,0.098591549,MMMG,xa186c3,157,MMMG,MMMG,MMMG,91.6949,3.2316
XA187c1,xa187c1,19,118,0,137,0.138686131,MMMG,,NA,,NO,NA,91.7269,3.1666
XA189c1,xa189c1,11,126,0,137,0.080291971,MMMG,xa189c1,151,MMMG,MMMG,MMMG,91.694,3.1767
XA190c1,xa190c1,19,115,0,134,0.141791045,MMMG,xa190c1,147,MMMG,MMMG,MMMG,91.7672,3.2187
XA191c2,xa191c2,10,129,1,140,0.071428571,MMMG,xa191c2,155,MMMG,MMMG,MMMG,91.6517,3.1923
XA195c1,xa195c1,11,106,1,118,0.093220339,MMMG,xa195c1,134,MMMG,MMMG,MMMG,92.0182,2.6592
XA196c1,xa196c1,17,106,0,123,0.138211382,MMMG,xa196c1,139,MMMG,MMMG,MMMG,92.0525,2.8377
XA197c1,xa197c1,16,118,1,135,0.118518519,MMMG,xa197c1,150,MMMG,MMMG,MMMG,91.763,3.067
XA200c2,xa200c2,12,117,1,130,0.092307692,MMMG,xa200c2,145,MMMG,MMMG,MMMG,91.7671,2.9366
XA201c1,xa201c1,9,107,1,117,0.076923077,MMMG,,NA,,NO,NA,91.9996,2.694
XA211c1,xa211c1,32,112,1,145,0.220689655,MMMG,xa211c1,160,MMMG,MMMG,MMMG,92.0557,3.3845
XA251c2,xa251c2,64,64,1,129,0.496124031,MMMG,xa251c2,144,MMMG,MMMG,MMMG,93.3013,2.9549
XA252c3,xa252c3,64,70,1,135,0.474074074,MMMG,xa252c3,149,MMMG,MMMG,MMMG,92.9134,2.8514
