Sample_Name,Strain_Alias,Heterozygosity,Introgressions,Fraction_Heterozygous_Introgressions,Phylogenetic_Clade,Main_Ancestral_pop,Main_Anc_Pop_Q,Secondary_Ancestral_Pop,Secondary_Anc_Pop_Q,used_in_ADMIXTURE,Used_in_supporting_phylogenies,Used_in_main_phylogeny,Used_in_MDSA,Reference,,,,,,,,,,,,
YMX002401,YMX002401,0.245,152,0.51,Mexican_Agave_2,9,0.78,19,0.22,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003889,YMX003889,0.015,127,0.15,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002479,YMX002479,0.133,146,0.35,Mexican_Agave_2,14,0.67,19,0.33,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002547,YMX002547,0.151,147,0.32,Mexican_Agave_2,14,0.67,19,0.33,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002427,YMX002427,0.016,132,0.19,Mexican_Agave_2,14,0.7,19,0.3,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002353,YMX002353,0.141,112,0.29,Mexican_Agave_2,14,0.6,19,0.4,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002690,YMX002690,0.016,124,0.17,Mexican_Agave_2,19,1,14,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002934,YMX002934,0.012,130,0.1,Mexican_Agave_2,6,0.87,15,0.08,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003265,YMX003265,0.014,120,0.17,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003529,YMX003529,0.052,127,0.2,Mexican_Agave_2,6,1,14,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003313,YMX003313,0.012,117,0.09,Mexican_Agave_2,15,1,6,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003051,YMX003051,0.013,142,0.1,Mexican_Agave_2,15,1,6,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003409,YMX003409,0.014,137,0.14,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003433,YMX003433,0.012,137,0.08,Mexican_Agave_2,15,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002833,YMX002833,0.035,134,0.14,Mexican_Agave_2,15,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003938,YMX003938,0.013,140,0.07,Mexican_Agave_2,15,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002857,YMX002857,0.025,123,0.14,Mexican_Agave_2,15,1,18,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002809,YMX002809,0.012,135,0.12,Mexican_Agave_2,15,1,14,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003002,YMX003002,0.011,130,0.09,Mexican_Agave_2,15,1,6,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002905,YMX002905,0.012,117,0.08,Mexican_Agave_2,15,1,18,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004033,YMX004033,0.087,145,0.22,Mexican_Agave_2,15,0.96,23,0.04,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000818,YMX000818,0.224,129,0.5,Mexican_Agave_2,9,0.92,6,0.04,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001011,YMX001011,0.205,135,0.47,Mexican_Agave_2,9,0.62,19,0.38,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000743,YMX000743,0.261,119,0.55,Tequila_Distillery,18,0.7,6,0.2,1,1,,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000841,YMX000841,0.109,121,0.31,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001084,YMX001084,0.212,147,0.55,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000935,YMX000935,0.223,112,0.38,Tequila_Distillery,18,0.47,9,0.26,1,1,,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000988,YMX000988,0.382,129,0.68,Tequila_Distillery,18,0.47,1,0.23,1,1,,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001514,YMX001514,0.013,140,0.18,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002041,YMX002041,0.013,122,0.1,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000865,YMX000865,0.145,163,0.37,Mexican_Agave_2,14,0.52,19,0.42,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001132,YMX001132,0.207,139,0.52,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000892,YMX000892,0.25,117,0.56,Mexican_Agave_2,9,1,6,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000626,YMX000626,0.136,133,0.41,Mexican_Agave_2,19,1,15,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001273,YMX001273,0.127,127,0.38,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001849,YMX001849,0.226,152,0.53,Mexican_Agave_2,9,0.76,19,0.24,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002020,YMX002020,0.232,152,0.53,Mexican_Agave_2,9,0.78,19,0.22,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001393,YMX001393,0.016,101,0.16,Mexican_Agave_2,9,1,8,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001345,YMX001345,0.142,128,0.34,Mexican_Agave_2,19,0.72,9,0.28,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001733,YMX001733,0.211,141,0.45,Mexican_Agave_2,9,0.68,19,0.32,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001225,YMX001225,0.231,138,0.41,Mexican_Agave_2,14,0.53,19,0.31,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001658,YMX001658,0.173,150,0.41,Mexican_Agave_2,19,0.6,14,0.35,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001609,YMX001609,0.205,142,0.35,Mexican_Agave_2,14,0.55,19,0.43,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000649,YMX000649,0.13,129,0.38,Mexican_Agave_2,19,1,15,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003824,YMX003824,0.075,131,0.15,Mexican_Agave_2,6,0.99,12,0.01,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002071,YMX002071,0.082,9,0.11,1. Wine/European,8,1,14,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001969,YMX001969,0.165,129,0.36,Mexican_Agave_2,12,0.63,14,0.15,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001826,YMX001826,0.09,130,0.18,Mexican_Agave_2,6,0.95,19,0.03,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001153,YMX001153,0.246,137,0.4,Mexican_Agave_2,6,0.64,18,0.36,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000937,YMX000937,0.233,136,0.4,Mexican_Agave_2,6,0.65,18,0.35,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000721,YMX000721,0.222,130,0.33,Mexican_Agave_2,6,0.68,18,0.32,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000963,YMX000963,0.146,127,0.48,Mexican_Agave_2,9,1,8,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001036,YMX001036,0.2,133,0.44,Mexican_Agave_2,9,0.64,19,0.36,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
DD2a,DD2a,0.196,125,0.34,Mexican_Agave_2,19,0.68,9,0.32,1,1,1,1,"Kirchmayr et al., LWT- Food Science and Technology, 2017",,,,,,,,,,,,
YMX003194,YMX003194,0.015,127,0.15,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002497,YMX002497,0.209,143,0.49,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002713,YMX002713,0.212,147,0.51,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002378,YMX002378,0.225,147,0.48,Mexican_Agave_2,9,0.67,19,0.33,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004057,YMX004057,0.012,118,0.09,Mexican_Agave_2,15,1,18,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004549,YMX004549,0.012,133,0.16,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004563,YMX004563,0.013,135,0.16,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004564,YMX004564,0.012,137,0.16,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004566,YMX004566,0.013,133,0.14,Mexican_Agave_2,6,1,15,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004569,YMX004569,0.13,129,0.38,Mexican_Agave_2,19,1,15,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004594,YMX004594,0.012,138,0.15,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004642,YMX004642,0.014,116,0.16,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004648,YMX004648,0.014,122,0.16,Mexican_Agave_2,19,1,14,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004659,YMX004659,0.241,128,0.45,Mexican_Agave_2,6,0.59,18,0.36,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004668,YMX004668,0.014,136,0.13,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004678,YMX004678,0.017,116,0.11,Mexican_Agave_2,14,0.56,12,0.44,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004685,YMX004685,0.145,127,0.3,Mexican_Agave_2,14,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX004688,YMX004688,0.013,137,0.07,Mexican_Agave_2,15,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
MJ5,MJ5,0.134,121,0.26,Mexican_Agave_2,9,0.63,19,0.35,1,1,1,1,"Kirchmayr et al., LWT- Food Science and Technology, 2017",,,,,,,,,,,,
YMX005538,YMX005538,0.187,157,0.4,Mexican_Agave_2,19,0.41,14,0.35,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005539,YMX005539,0.187,138,0.36,Mexican_Agave_2,14,0.56,19,0.44,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005541,YMX005541,0.014,142,0.13,Mexican_Agave_2,19,0.5,14,0.5,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005542,YMX005542,0.198,130,0.38,Mexican_Agave_2,14,0.51,19,0.33,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005543,YMX005543,0.012,119,0.07,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005545,YMX005545,0.014,121,0.12,Mexican_Agave_2,6,0.9,12,0.04,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005546,YMX005546,0.088,128,0.17,Mexican_Agave_2,6,0.95,19,0.03,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005547,YMX005547,0.212,131,0.49,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005548,YMX005548,0.214,129,0.43,Mexican_Agave_2,9,0.52,19,0.48,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005549,YMX005549,0.263,155,0.49,Mexican_Agave_2,14,0.38,19,0.32,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005550,YMX005550,0.216,137,0.52,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005551,YMX005551,0.243,133,0.39,Mexican_Agave_2,6,0.64,18,0.36,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005552,YMX005552,0.247,133,0.4,Mexican_Agave_2,6,0.62,18,0.38,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005553,YMX005553,0.225,161,0.42,Mexican_Agave_2,9,0.64,19,0.36,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005554,YMX005554,0.219,157,0.52,Mexican_Agave_2,14,0.68,19,0.18,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005555,YMX005555,0.223,134,0.37,Mexican_Agave_2,6,0.65,18,0.35,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005556,YMX005556,0.249,141,0.35,Mexican_Agave_2,6,0.54,18,0.46,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005557,YMX005557,0.013,139,0.08,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005558,YMX005558,0.146,132,0.37,Mexican_Agave_2,19,0.71,9,0.29,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005559,YMX005559,0.014,129,0.11,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005561,YMX005561,0.014,134,0.16,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005563,YMX005563,0.141,130,0.3,Mexican_Agave_2,14,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005564,YMX005564,0.136,130,0.32,Mexican_Agave_2,14,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005565,YMX005565,0.145,139,0.4,Mexican_Agave_1,7,1,0,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005566,YMX005566,0.202,167,0.56,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005569,YMX005569,0.015,105,0.1,Mexican_Agave_2,14,0.52,19,0.36,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005570,YMX005570,0.015,99,0.13,Mexican_Agave_2,14,0.66,19,0.34,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005571,YMX005571,0.159,134,0.39,Mexican_Agave_2,19,0.66,9,0.21,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005572,YMX005572,0.147,145,0.35,Mexican_Agave_2,14,0.68,19,0.32,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005573,YMX005573,0.015,125,0.17,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005574,YMX005574,0.015,126,0.17,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005575,YMX005575,0.185,135,0.33,Mexican_Agave_2,19,0.65,9,0.35,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005576,YMX005576,0.013,130,0.12,Mexican_Agave_2,15,0.9,23,0.1,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005577,YMX005577,0.058,133,0.17,Mexican_Agave_2,15,1,19,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005583,YMX005583,0.012,115,0.08,Mexican_Agave_2,15,1,18,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005584,YMX005584,0.055,122,0.18,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005585,YMX005585,0.016,118,0.12,Mexican_Agave_2,6,0.89,18,0.11,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005586,YMX005586,0.105,139,0.22,Mexican_Agave_2,6,0.97,9,0.03,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005587,YMX005587,0.198,165,0.55,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005588,YMX005588,0.197,160,0.52,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005590,YMX005590,0.017,117,0.13,Mexican_Agave_2,14,0.56,12,0.44,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005591,YMX005591,0.016,121,0.17,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
