01G00040,YAL067C
04G00280,YDL217C
04G00290,YDL216C
04G00300,YDL215C
04G00310,YDL214C
04G00320,YDL213C
04G00330,YDL212W
04G00340,YDL211C
04G00350,YDL210W
04G00360,YDL209C
04G00370,YDL208W
04G00380,YDL207W
04G00390,YDL206W
04G00400,YDL205C
04G00410,YDL204W
04G00420,YDL203C
04G00430,YDL202W
04G00740,YDL167C
04G00750,YDL166C
04G00760,YDL165W
04G00770,YDL164C
04G00780,YDL161W
04G00790,YDL160C-A
04G00800,YDL160C
04G00810,YDL159W
04G00820,YDL157C
04G00920,YDL145C
04G00930,YDL144C
04G00940,YDL143W
04G00950,YDL142C
04G00960,YDL141W
04G01620,YDL073W
04G01630,YDL072C
04G01810,YDL051W
04G01820,YDL049C
04G01830,YDL048C
04G02080,YDL017W
04G02090,YDL015C
04G02100,YDL014W
04G02110,YDL013W
04G02120,YDL012C
04G02130,YDL010W
04G02140,YDL008W
04G02150,YDL007C-A
04G02160,YDL007W
04G02170,YDL006W
04G02180,YDL005C
04G02190,YDL004W
04G02200,YDL003W
04G02210,YDL002C
04G02220,YDL001W
04G02230,YDR001C
04G02240,YDR002W
04G02250,YDR003W
04G02260,YDR004W
04G02270,YDR005C
04G02280,YDR006C
04G02290,YDR007W
04G02300,YDR009W
04G02310,YDR011W
04G02510,YDR034C
04G02610,YDR046C
04G02630,YDR049W
04G02650,YDR051C
04G02660,YDR052C
04G02670,YDR054C
04G02680,YDR055W
04G02690,YDR056C
04G02700,YDR057W
04G02710,YDR058C
04G02720,YDR059C
04G02730,YDR060W
04G02740,YDR061W
04G02750,YDR062W
04G02760,YDR063W
04G02780,YDR065W
04G02790,YDR066C
04G02800,YDR067C
04G02810,YDR068W
04G02820,YDR069C
04G02830,YDR070C
04G02840,YDR071C
04G02850,YDR072C
04G02860,YDR073W
04G02870,YDR074W
04G02880,YDR075W
04G02890,YDR076W
04G02900,YDR077W
04G02910,YDR078C
04G02920,YDR079W
04G02930,YDR079C-A
04G02940,YDR080W
04G02950,YDR081C
04G02960,YDR082W
04G02970,YDR083W
04G02980,YDR084C
04G02990,YDR085C
04G03000,YDR086C
04G03010,YDR087C
04G03020,YDR088C
04G03030,YDR089W
04G03040,YDR090C
04G03050,YDR091C
04G03060,YDR093W
04G03070,YDR096W
04G03080,YDR097C
04G03090,YDR098C
04G03100,YDR099W
04G03110,YDR100W
04G03120,YDR101C
04G03130,YDR103W
04G03140,YDR104C
04G03150,YDR105C
04G03160,YDR106W
04G03170,YDR107C
04G03180,YDR108W
04G03190,YDR109C
04G03200,YDR110W
04G03790,YDR176W
04G03960,YDR192C
04G03970,YDR194C
04G03980,YDR195W
04G03990,YDR196C
04G04000,YDR197W
04G04010,YDR198C
04G04020,YDR200C
04G04030,YDR201W
04G04040,YDR202C
04G04050,YDR204W
04G04060,YDR205W
04G04070,YDR206W
04G04080,YDR207C
04G04090,YDR208W
04G04100,YDR211W
04G04110,YDR212W
04G04120,YDR213W
04G04130,YDR214W
04G04140,NA
04G04150,YDR216W
04G04160,YDR217C
04G04170,YDR218C
04G04180,YDR219C
04G04190,YDR221W
04G04200,YDR222W
04G04210,YDR223W
04G04240,YDR226W
04G04250,YDR227W
04G04260,YDR228C
04G04270,YDR229W
04G04280,YDR231C
04G04290,YDR232W
04G04300,YDR233C
04G04310,YDR234W
04G04320,YDR235W
04G04330,YDR236C
04G04340,YDR237W
04G04350,YDR238C
04G04360,YDR239C
04G04370,YDR240C
04G04380,YDR242W
04G04390,YDR243C
04G04400,YDR244W
04G04410,YDR245W
04G04420,YDR246W
04G04430,YDR247W
04G04440,YDR248C
04G04450,YDR249C
04G04460,NA
04G04470,YDR251W
04G04480,YDR252W
04G04490,YDR253C
04G04500,YDR254W
04G04510,YDR255C
04G04520,YDR256C
04G04530,YDR257C
04G04540,YDR258C
04G04550,YDR259C
04G04560,YDR260C
04G04570,YDR261C
04G04580,YDR262W
04G04590,YDR263C
04G04800,YDR288W
04G04810,YDR289C
04G04820,YDR291W
04G04830,YDR292C
04G04840,YDR293C
04G04850,YDR294C
04G04860,YDR295C
04G04870,YDR296W
04G04880,YDR297W
04G04890,YDR298C
04G04900,YDR299W
04G04910,YDR300C
04G04920,YDR301W
04G04930,YDR302W
04G04940,YDR303C
04G04950,YDR304C
04G04960,YDR305C
04G04970,YDR306C
04G04980,YDR307W
04G04990,YDR308C
04G05000,YDR309C
04G05010,YDR310C
04G05120,YDR320C-A
04G05130,YDR321W
04G05260,YDR334W
04G05270,YDR335W
04G05280,YDR336W
04G05290,YDR337W
04G05300,YDR338C
04G05310,YDR339C
04G05320,YDR341C
04G05330,NA
04G05340,YDR343C/YDR342C
04G05350,YDR345C
04G05360,YDR346C
04G05370,YDR347W
04G05380,YDR348C
04G05550,YDR368W
04G05560,YDR369C
04G05570,YDR370C
04G05580,YDR371W
04G05590,YDR372C
04G05600,YDR373W
04G05610,YDR374C
04G05620,YDR374W-A
04G05630,YDR375C
04G05640,YDR376W
04G05650,YDR377W
04G05660,YDR378C
04G05670,YDR379W
04G05680,YDR379C-A
04G05690,YDR380W
04G05700,YDR381C-A
04G05770,YDR388W
04G05780,YDR389W
04G05790,YDR390C
04G05800,YDR391C
04G05810,YDR392W
04G05820,YDR393W
04G05830,YDR394W
04G05840,YDR395W
04G05850,YDR397C
04G05860,YDR398W
04G05870,YDR399W
04G05880,YDR400W
04G05890,YDR402C
04G05900,YDR403W
04G05910,YDR404C
04G05920,YDR405W
04G06160,YDR434W
04G06170,YDR435C
04G06180,YDR436W
04G06190,YDR437W
04G06200,YDR438W
04G06210,YDR439W
04G06220,YDR440W
04G06230,YDR441C
04G06490,YDR471W
04G06500,YDR472W
04G06510,YDR473C
04G06520,YDR475C
04G06900,YDR517W
04G06910,YDR518W
04G06920,YDR519W
04G06930,YDR520C
04G06940,YDR522C
04G06950,YDR524C
04G06970,YDR525W-A
04G06980,YDR527W
04G06990,YDR528W
04G07000,YDR529C
04G07010,YDR530C
04G07020,YDR531W
04G07030,YDR532C
04G07040,YDR533C
04G07050,YDR534C
04G07060,YDR536W
04G07070,YDR538W
04G07080,YDR539W
04G07090,YDR541C
05G00010,YEL072W
05G00020,YEL071W
05G00030,YNR075W
05G00040,YNR074C
05G00060,YEL069C
05G00070,YEL066W
05G00080,YEL065W
05G00090,YEL064C
05G00100,YEL063C
05G00110,YEL062W
05G00120,YEL061C
05G00130,YEL060C
05G00760,YER008C
05G00770,YER009W
05G00780,YER010C
05G00790,YER011W
05G00800,YER012W
05G00850,YER017C
05G01110,YER042W
05G01230,YER052C
05G01240,YER053C
05G01250,YER054C
05G01310,YER059W
05G01320,YER060W
05G01330,YER060W-A
05G01340,YER061C
05G01350,YER062C
05G01360,YER063W
05G01370,YER064C
05G01380,YER065C
05G01390,NA
05G01400,YER067W
05G01450,YER072W
05G01460,YER073W
05G02300,YER161C
05G02310,YER162C
05G02320,YER163C
05G02330,YER164W
05G02370,YER168C
05G02380,YER169W
05G02390,YER170W
05G02400,YER171W
05G02410,YER172C
05G02460,YER177W
05G02470,YER178W
05G02480,YER179W
05G02490,YER180C
05G02500,YER180C-A
05G02510,YER182W
05G02520,YER183C
05G02530,YER184C
05G02540,YER185W
05G02550,YIL173W
06G00020,NA
06G00030,NA
06G00040,YNL332W/YFL058W
06G00050,NA
06G00060,YFL055W
06G00070,YFL054C
06G00080,YFL053W
06G00090,YFL052W
06G00100,NA
06G00110,NA
06G00120,YCL069W
06G00130,NA
06G00140,YFL050C
06G00150,YFL049W
06G00300,YFL034C-A
06G00320,YFL033C
06G00410,YFL023W
06G00420,YFL022C
06G00430,YFL021W
06G00440,NA
06G00450,YFL018C
06G00460,YFL017W-A
06G00470,YFL017C
06G00480,YFL016C
06G00490,YFL014W
06G00500,YFL013C
06G00510,YFL012W
06G00520,YFL011W
06G00530,YFL010C
06G00540,YFL009W
06G00550,YFL008W
06G00560,YFL007W
06G00570,YFL005W
06G00580,YFL004W
06G00590,YFL003C
06G00600,YFL002C
06G00610,YFL001W
06G00620,YFR001W
06G00630,YFR002W
06G00640,YFR003C
06G00650,YFR004W
06G00660,YFR005C
06G00670,YFR006W
06G00680,YFR007W
06G00690,YFR008W
06G00700,YFR009W
06G00740,YFR027W
06G00850,YFR015C
06G01120,YFR049W
06G01130,YFR050C
06G01140,YFR051C
06G01150,YFR052W
06G01160,YFR053C
06G01170,YFR054C
06G01180,NA
06G01190,YFR055W
07G00010,YNR066C
07G00020,NA
07G00030,YER187W
07G00040,NA
07G00050,YGL258W
07G00060,YGL257C
07G00080,YGL255W
07G00090,YGL254W
07G00130,YGL250W
07G00140,YGL249W
07G00150,YGL248W
07G00160,YGL247W
07G00240,YGL238W
07G00250,YGL237C
07G00260,YGL236C
07G01490,YGL097W
07G01500,YGL096W
07G01870,YGL054C
07G01880,YGL050W
07G01890,YGL049C
07G01940,YGL043W
07G01950,YGL041W-A
07G01960,YGL040C
07G01970,YGL039W
07G01980,YGL038C
07G01990,YGL037C
07G02000,YGL036W
07G02010,YGL035C
07G02020,YGL033W
07G02030,YGL032C
07G02060,YGL029W
07G02070,YGL028C
07G02080,YGL027C
07G02090,YGL026C
07G02100,YGL025C
07G02110,YGL023C
07G02120,YGL022W
07G02130,YGL021W
07G02140,YGL020C
07G02150,YGL019W
07G02190,YGL015C
07G02200,YGL014W
07G02210,YGL013C
07G02220,YGL012W
07G02230,YGL011C
07G02240,YGL010W
07G02250,YGL009C
07G02270,YGL006W
07G02280,YGL005C
07G02290,YGL004C
07G02300,YGL003C
07G02310,YGL002W
07G02320,YGL001C
07G02330,YGR001C
07G02340,YGR002C
07G02350,YGR003W
07G02360,YGR004W
07G02370,YGR005C
07G02380,YGR006W
07G02390,YGR007W
07G02400,YGR008C
07G02410,YGR009C
07G02420,YGR010W
07G02430,YGR012W
07G02440,YGR013W
07G02450,YGR014W
07G02460,YGR015C
07G02470,YGR016W
07G02480,YGR017W
07G02490,YGR019W
07G02500,YGR020C
07G02510,YGR021W
07G02520,YGR023W
07G02530,YGR024C
07G02540,YGR026W
07G02560,YGR028W
07G02570,YGR029W
07G02580,YGR030C
07G02590,YGR031W
07G02600,YGR032W
07G02610,YGR033C
07G02630,YGR035C
07G02640,YGR036C
07G02650,YGR037C
07G02660,YGR038W
07G02670,YGR040W
07G02680,YGR041W
07G02690,YGR042W
07G02700,YGR043C
07G02710,YGR044C
07G02720,YGR046W
07G02730,YGR047C
07G02740,YGR048W
07G02750,YGR049W
07G02760,YGR050C
07G02770,NA
07G02780,YGR052W
07G02790,YGR053C
07G02800,YGR054W
07G02810,YGR055W
07G02820,YGR056W
07G02830,YGR057C
07G02840,YGR058W
07G02850,YGR059W
07G03340,YGR113W
07G04020,YGR189C
07G04030,YGR191W
07G04440,YGR235C
07G04450,YGR236C
07G04460,YGR237C
07G04570,YGR249W
07G04580,YGR250C
07G04630,YGR255C
07G04900,YGR285C
07G04910,YGR286C
07G04920,YGR287C
07G04930,YGR288W
07G04940,YGR287C
07G04950,NA
07G04960,NA
07G04970,NA
07G04980,NA
07G04990,YBR298C
07G05000,YBR299W/YGR292W
08G00110,YHL030W
08G00120,YHL029C
08G00130,NA
08G00140,YHL027W
08G00150,YHL026C
08G00160,YHL025W
08G00170,YHL024W
08G00180,YHL023C
08G00190,YHL022C
08G00200,YHL021C
08G00210,YHL020C
08G00220,YHL019C
08G00230,YHL018W
08G00240,YHL017W
08G00250,YHL016C
08G00270,YHL014C
08G00280,YHL013C
08G00290,YHL012W
08G00300,YHL011C
08G00310,YHL010C
08G00320,YHL009C
08G00330,YHL008C
08G00340,YHL007C
08G00370,YHL003C
08G00420,YHR002W
08G00430,YHR003C
08G00490,YHR008C
08G00500,YHR009C
08G00520,YHR011W
08G00530,YHR012W
08G00540,YHR013C
08G00550,YHR014W
08G00560,YHR015W
08G00570,YHR016C
08G00610,NA
08G00730,YHR032W
08G00750,YHR034C
08G00800,YHR039C
08G01030,YHR063C
08G01330,YHR091C
08G01340,YHR092C
08G01350,YHR094C
08G01360,YHR096C
08G01370,YHR097C
08G01380,NA
08G01390,YHR098C
08G01410,YHR100C
08G01530,YHR112C
08G01690,YHR129C
08G01700,YHR131C
08G02140,YHR175W
08G02150,YHR176W
08G02180,YHR179W
08G02190,YHR180W
08G02200,YHR181W
08G02210,YHR182W
08G02470,YHR207C
08G02480,YHR208W
08G02490,YHR209W
08G02500,YHR210C
08G02510,YAL063C
08G02520,NA
08G02525,BIO6
08G02530,NA
08G02540,YAR071W/YHR215W
08G02550,YHR216W
09G00010,NA
09G00030,YOL159C
09G00040,NA
09G00050,YIL172C/YOL157C/YJL221C
09G00060,YIL169C
09G00070,NA
09G00080,YIL166C
09G00090,YIL164C
09G00100,YIL162W
09G00110,YIL161W
09G00120,YIL160C
09G00130,YIL159W
09G00250,YIL146C
09G00260,YIL145C
09G00270,YIL144W
09G00280,YIL143C
09G00300,YIL140W
09G00480,YIL122W
09G00490,YIL121W
09G00500,YIL120W
09G00510,YIL119C
09G00700,NA
09G00760,YIL094C
09G00960,YIL069C
09G00970,YIL068C
09G00980,YIL067C
09G00990,YIL066C
09G01000,YIL065C
09G01010,YIL064W
09G01020,YIL063C
09G01030,YIL062C
09G01050,YIL057C
09G01060,YIL056W
09G01070,YIL055C
09G01090,YIL052C
09G01100,YIL051C
09G01110,YIL050W
09G01120,YIL049W
09G01130,YIL048W
09G01140,YIL047C
09G01150,YIL046W
09G01440,YIL014W
09G01450,YIL013C
09G01460,YIL011W
09G01470,YIL010W
09G01480,NA
09G01690,YIR011C
09G01700,YIR012W
09G01710,YIR013C
09G01720,YIR014W
09G01730,YIR015W
09G01740,YIR016W
09G01750,YIR017C
09G01760,YIR018W
09G01770,YIR019C
09G01980,NA
10G00010,YNL335W/YFL061W
10G00020,YFL060C/YNL334C
10G00030,YNL333W/YFL059W
10G00040,YNL332W/YFL058W
10G00050,YNL331C
10G00060,YJL213W
10G00070,YJL212C
10G00080,YJL210W
10G00090,YJL209W
10G00370,YJL174W
10G00380,YJL173C
10G00390,YJL172W
10G00400,YJL171C
10G00410,YJL170C
10G00420,YJL168C
10G00430,YJL167W
10G00440,YJL166W
10G00450,YJL165C
10G00490,YJL161W
10G00500,YJL160C
10G00510,YJL159W
10G00520,YJL158C
10G00530,YJL157C
10G00540,YJL156C
10G00550,YJL155C
10G00620,YJL146W
10G00630,YJL145W
10G00640,YJL144W
10G00650,YJL143W
10G00660,YJL141C
10G00770,YJL129C
10G01120,YJL090C
10G01130,YJL089W
10G01140,YJL088W
10G01150,YJL087C
10G01160,YJL085W
10G01170,YJL084C
10G01610,YJL035C
10G01700,YJL023C
10G01710,NA
10G01730,YJL016W
10G01880,YJR003C
10G01890,YJR004C
10G01900,YJR005W
10G01910,YJR005C-A
10G01920,YJR006W
10G02370,YJR059W
10G02380,YJR060W
10G02390,YJR061W
10G02400,YJR062C
10G02420,YJR064W
10G02430,YJR065C
10G02520,YJR075W
10G02530,YJR076C
10G02590,YJR084W
10G02950,YJR119C
10G02960,YJR121W
10G02970,YJR122W
10G02990,YJR124C
10G03000,YJR125C
10G03010,YJR126C
10G03020,YJR127C
10G03030,YJR129C
10G03040,YJR130C
10G03050,YJR131W
10G03170,YJR142W
10G03180,YJR143C
10G03190,YJR144W
10G03210,YJR147W
10G03220,YJR148W
10G03230,YJR149W
10G03240,YJR150C
10G03250,NA
10G03260,YJR152W
10G03270,YJR153W
10G03280,YJR154W
10G03290,NA
10G03300,YNL332W/YFL058W
10G03310,YNL333W/YFL059W
10G03320,YFL060C/YNL334C
10G03330,YNL335W/YFL061W
11G00010,YNL336W/YFL062W
11G00020,YKL222C
11G00030,YKL221W
11G00040,YKL220C
11G00110,YKL213C
11G00120,YKL212W
11G00130,YKL211C
11G00360,YKL185W
11G00880,YKL128C
11G00890,YKL127W
11G00900,YKL126W
11G00910,YKL125W
11G00920,YKL124W
11G00930,YKL122C
11G01140,NA
11G01150,YKL096W-A
11G01160,YKL096W
11G01170,YKL095W
11G01180,YKL094W
11G02010,YKL008C
11G02450,YKR038C
11G02460,YKR039W
11G02470,YKR041W
11G02480,YKR042W
11G02490,YKR043C
11G02500,YKR044W
11G02510,YKR045C
11G02520,YKR046C
11G03090,YEL073C
12G00030,YGL262W
12G00100,YLL057C
12G00110,YLL056C
12G00120,YLL055W
12G00130,YLL054C
12G00140,NA
12G00150,YLL051C
12G00160,YLL050C
12G00170,YLL049W
12G00180,YLL048C
12G00190,YLL046C
12G00210,YLL043W
12G00220,YLL042C
12G00230,YLL041C
12G00240,YLL040C
12G00250,YLL038C
12G00260,YLL036C
12G00270,YLL035W
12G00280,YLL034C
12G00290,YLL033W
12G00300,YLL032C
12G00310,YLL031C
12G00320,YLL029W
12G00330,YLL028W
12G01320,YLR077W
12G01330,YLR079W
12G01340,YLR080W
12G01350,YLR081W
12G01360,YLR082C
12G01370,YLR083C
12G01380,YLR084C
12G01390,YLR085C
12G01690,YLR118C
12G01700,YLR119W
12G01710,YLR120C
12G01720,YLR121C
12G01730,NA
12G01740,YLR125W
12G01750,YLR126C
12G01760,YLR127C
12G02170,YLR178C
12G02180,YLR179C
12G02190,YLR180W
12G02200,YLR181C
12G02310,YLR193C
12G02320,YLR194C
12G02630,YLR228C
12G02860,YLR257W
12G02870,YLR258W
12G04010,YLR387C
12G04590,YLR451W
12G04600,YLR452C
12G04610,YLR453C
12G04620,YLR454W
12G04630,YLR455W
12G04640,YLR456W
12G04650,YLR457C
12G04660,YLR459W
12G04670,YLR460C
12G04680,YLR461W
12G04690,YIR042C
12G04700,NA
13G00040,YPR200C
13G00050,YPR201W
13G00480,YML086C
13G00490,NA
13G00500,YML083C
13G00510,YML082W
13G00520,YML081C-A
13G01250,YML005W
13G01260,YML004C
13G01350,YMR008C
13G01590,YMR032W
13G01600,YMR033W
13G01610,YMR034C
13G01620,YMR035W
13G01630,YMR036C
13G01640,YMR037C
13G01650,YMR038C
13G01660,YMR039C
13G01670,YMR040W
13G01680,YMR041C
13G01690,YMR042W
13G01700,YMR043W
13G02130,YMR093W
13G02240,YMR105C
13G02250,YMR106C
13G02260,YMR107W
13G02400,YMR121C
13G02410,YMR122W-A
13G02420,YMR123W
13G02430,YMR124W
13G02480,YMR129W
13G02490,YMR130W
13G02500,YMR131C
13G02510,YMR132C
13G02520,YMR133W
13G02530,YMR135C
13G02540,YMR136W
13G02790,YMR162C
13G02800,YMR163C
13G02810,YMR164C
13G02820,YMR165C
13G02930,YMR176W
13G02940,YMR177W
13G02950,YMR178W
13G02960,YMR179W
13G02970,YMR180C
13G02980,YMR181C
13G02990,YMR182C
13G03330,YMR215W
13G03340,YMR216C
13G04240,YMR307W
13G04400,NA
13G04410,NA
13G04420,NA
13G04430,NA
14G00020,YNL335W/YFL061W
14G00030,YNL333W/YFL059W
14G00040,YNL332W/YFL058W
14G00050,YNL331C
14G00200,YNL314W
14G00210,YNL313C
14G00590,YNL270C
14G00600,YNL268W
14G00610,YNL267W
14G00620,YNL265C
14G00630,YNL264C
14G00640,YNL263C
14G00700,YNL257C
14G00710,YNL256W
14G00730,YNL254C
14G00790,YNL248C
14G00800,YNL247W
14G00810,YNL245C
14G00830,YNL243W
14G00840,YNL242W
14G00850,YNL241C
14G00860,YNL240C
14G00870,YNL239W
14G00880,YNL238W
14G00890,YNL237W
14G00900,YNL236W
14G00910,YNL234W
14G00920,YNL233W
14G00930,YNL232W
14G00940,YNL231C
14G00950,YNL230C
14G00960,YNL229C
14G00970,YNL227C
14G00980,YNL225C
14G00990,YNL224C
14G01000,YNL223W
14G01020,YNL221C
14G01030,YNL220W
14G01040,YNL219C
14G01050,YNL218W
14G01060,YNL217W
14G01070,YNL216W
14G01080,YNL215W
14G01090,YNL214W
14G01100,YNL213C
14G01110,YNL212W
14G01120,YNL211C
14G01130,YNL210W
14G01150,YNL208W
14G01160,YNL207W
14G01170,YNL206C
14G01180,YNL204C
14G01190,YNL202W
14G01200,YNL201C
14G01210,YNL200C
14G01220,YNL199C
14G01230,YNL197C
14G01240,YNL196C
14G01250,YNL195C
14G01260,YNL194C
14G01270,YNL193W
14G01280,YNL192W
14G01290,YNL191W
14G01300,YNL190W
14G01310,YNL189W
14G01320,YNL188W
14G01330,YNL187W
14G01340,YNL186W
14G01350,YNL185C
14G01360,YNL183C
14G01370,YNL182C
14G01380,YNL181W
14G01390,YNL180C
14G01410,YNL177C
14G01420,YNL176C
14G01430,YNL175C
14G01440,YNL173C
14G01450,YNL172W
14G01460,YNL169C
14G01470,YNL168C
14G01480,YNL167C
14G01490,YNL166C
14G01500,YNL165W
14G01510,YNL164C
14G01520,YNL163C
14G01530,YNL162W-A
14G02940,YNL008C
14G03580,YNR058W
14G03590,YNR059W
14G03600,YNR060W
14G03610,YNR061C
14G03620,YNR062C
14G03630,YNR063W
14G03640,YNR064C
14G03650,NA
14G03660,YNR067C
14G03670,YNR069C
14G03680,YNR070W
14G03690,YNR071C
14G03700,YNR072W
14G03710,YNR073C
15G00020,YOL159C
15G00030,YOL158C
15G00040,YIL172C/YOL157C/YJL221C
15G00050,YOL155C
15G00060,YOL154W
15G00070,YOR153C
15G00080,YOL152W
15G00090,YOL151W
15G00100,YOL149W
15G00110,YOL148C
15G00120,YOL147C
15G00130,YOL146W
15G00140,YOL145C
15G00150,YOL144W
15G00160,YOL143C
15G00170,YOL142W
15G00180,YOL141W
15G00190,YOL140W
15G00210,YOL138C
15G00220,YOL137W
15G00230,YOL136C
15G00290,YOL129W
15G00340,YOL123W
15G00350,YOL122C
15G00380,YOL119C
15G00540,YOL101C
15G00550,YOL100W
15G00560,YOL098C
15G00570,YOL097C
15G00600,YOL094C
15G00660,YOL088C
15G00670,YOL087C
15G00680,YOL086W-A
15G00700,YOL084W
15G00710,YOL083W
15G00720,YOL082W
15G01300,YOL019W
15G01740,YOR030W
15G01750,YOR032C
15G01760,YOR033C
15G02180,YOR081C
15G02190,YOR083W
15G02200,YOR084W
15G02210,YOR085W
15G02220,YOR086C
15G02460,YOR113W
15G02470,YOR114W
15G02690,YOR138C
15G02700,YOR140W
15G02710,YOR141C
15G02720,YOR142W
15G02900,YOR161C
15G02910,YOR162C
15G02920,YOR163W
15G02930,YOR164C
15G03030,YOR176W
15G03040,YOR177C
15G03100,YOR184W
15G03110,YOR185C
15G04470,YOR341W
15G04480,YOR342C
15G04490,YOR344C
15G04730,YOR371C
15G04790,YOR378W
15G04870,YOR387C
15G04950,NA
16G00010,NA
16G01930,YPL074W
16G01940,YPL072W
16G01950,YPL071C
16G01960,YPL070W
16G01970,YPL069C
16G01980,YPL068C
16G01990,YPL067C
16G02000,YPL066W
16G02010,YPL065W
16G02020,YPL064C
16G02030,YPL063W
16G02040,YPL061W
16G02050,YPL060W
16G02060,YPL059W
16G02070,YPL058C
16G02300,YPL033C
16G02310,YPL032C
16G02320,YPL031C
16G02330,YPL030W
16G03530,YPR106W
16G03540,YPR107C
16G03550,YPR108W
16G03560,YPR109W
16G03860,YPR143W
16G03870,YPR144C
16G03880,YPR145W
16G03890,YPR145C-A
16G03900,YPR147C
16G03910,YPR148C
16G03920,YPR149W
16G03930,YPR151C
16G03940,YPR152C
16G03950,YPR153W
16G03960,YPR154W
16G03970,YPR155C
16G03980,YPR156C
16G04330,YPR192W
16G04370,YPR198W
